_id,APPLICATION_TYPE,APPLICATION#,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,DATE_SUBMITTED,STATUS,X,Y,DESCRIPTION,REFERENCE_FILE#,FOLDERRSN,WARD_NUMBER,WARD_NAME,COMMUNITY_MEETING_DATE,COMMUNITY_MEETING_TIME,COMMUNITY_MEETING_LOCATION,APPLICATION_URL,CONTACT_NAME,CONTACT_PHONE,CONTACT_EMAIL,PARENT_FOLDER_NUMBER
1,OZ,21 204556 STE 13 OZ,16,SUMACH,ST, ,M5A,2021-08-26T00:00:00,Council Approved,316215.466,4834765.087,"Official Plan and Zoning By-law Amendment Application to facilitate the development of the site with a 59-storey mixed use building and a 55-storey residential building (204 and 191 metres, including mechanical penthouse), containing 1,276 dwelling units and a minimum of 1,200 square metres of nonresidential gross floor area.",,4985061,13,Toronto Centre,2025-11-06T00:00:00,6:00pm,Cooper Koo Familey YMCA,http://app.toronto.ca/AIC/index.do?folderRsn=2F1slXZ13L9%2Fid7pjZjRkA%3D%3D,"Bailey, Katherine",416-397-1761,Katherine.Bailey@toronto.ca,
2,OZ,21 226750 NNY 18 OZ,150-160,CACTUS,AVE, ,M2R,2021-10-16T00:00:00,Council Approved,309887.861,4850195.682,"Official Plan and Zoning By-law Amendment Application to facilitate the development of the site for a mixed use development comprised of 13- and 14-storey apartment buildings, and two 4-storey back to back townhouse buildings.  The proposed residential gross floor area is 36,850 square metres.  A total of 469 residential dwelling units are proposed, of which, 60 shall be rental dwelling units. A 2,126 square metre public park is also proposed on site.",,5010962,18,Willowdale,2023-02-23T00:00:00,7:00pm,Webinar,http://app.toronto.ca/AIC/index.do?folderRsn=qRXAamPMxBbXUq0ePvDoYA%3D%3D,"Au, Heather",(416) 396-5570,Heather.Au@toronto.ca,
3,SA,21 226762 NNY 18 SA,150-160,CACTUS,AVE, ,M2R,2021-10-16T00:00:00,Under Review ,309887.861,4850195.682,"Site Plan Approval to facilitate the development of the site for a residential development comprised of 12 and 15-storey apartment buildings, and two 4-storey back to back townhouse buildings.  The proposed residential gross floor area is 34,482 square metres.  A total 483 residential dwelling units are proposed, of which, 60 shall be rental dwelling units.",,5010978,18,Willowdale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=6NppqmaWIOey6xKP5MMRRA%3D%3D,"Au, Heather",(416) 396-5570,Heather.Au@toronto.ca,21 226750 NNY 18 OZ
4,SA,22 129777 NNY 06 SA,2808,KEELE,ST, ,M3M,2022-04-01T00:00:00,Under Review ,306159.092,4843011.481,"April 13, 2022 - Proposal for a 13-storey residential building fronting Keele Street with a total residential gross floor area of 24,387 square metres, a total of 337 dwelling units, and a density of 3.66 times the lot area. April 18, 2022 - Additional documents circulated (Architectural Plans).",,5079820,06,York Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=68cxqSigCcrXirsJ0x%2Fpcg%3D%3D,"Rahimi, Mina",,mina.rahimi@toronto.ca,21 138295 NNY 06 OZ
5,SA,22 143093 ESC 21 SA,1641,VICTORIA PARK,AVE, ,M1R,2022-05-06T00:00:00,Under Review ,320458.036,4843408.14,"Site Plan Application for a 6-storey residential building having a gross floor area of 2123.7 square metres, and containing 27 residential dwelling units.",,5096069,21,Scarborough Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=OotXHyPCOQGzB0fJncA%2F2A%3D%3D,"Kankam, Kwasi",416-396-7040,Kwasi.kankam@toronto.ca,
6,SA,22 143096 ESC 21 SA,1925,VICTORIA PARK,AVE, ,M1R,2022-05-06T00:00:00,NOAC Issued,319974.717,4845207.203,"Site Plan Application for a 12-storey mixed use building consisting of 185 rental housing units with a total gross floor area of 17,782.93 square metres, inclusive of 1,356 square metres of non-residential uses",,5096072,21,Scarborough Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=eWUKsKjIUWEU7%2F7n6RjF6g%3D%3D,"Kankam, Kwasi",416-396-7040,Kwasi.kankam@toronto.ca,22 143097 ESC 21 OZ
7,SA,21 222665 NNY 06 SA,5830,BATHURST,ST, ,M2R,2021-10-06T00:00:00,Closed,309231.579,4848594.792,Proposed addition to an existing three-storey mausoleum at Westminster Cemetery. The addition will have three-storeys above grade.,,5006233,06,York Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=yAwtnwZD7hA95t79Ir%2F3OA%3D%3D,,,,
8,OZ,22 135661 NNY 17 OZ,1800,SHEPPARD,AVE,E,M2J,2022-04-19T00:00:00,Council Approved,317302.02,4848431.717,Application to amend the zoning by-law to permit Phase 1A of the approved Masterplan Concept for the existing CF Fairview Mall.  Phase A1 will replace the existing surface parking lot and driveway for that portion along Sheppard Avenue East adjacent to the Don Mills Subway Station area. The proposed Tower is  48-storeys in height with an 8-storey podium along Sheppard Avenue East.,,5086946,17,Don Valley North,2022-07-11T00:00:00,6:30pm,webex,http://app.toronto.ca/AIC/index.do?folderRsn=ugB1Imm9%2BeKR0x2mRM50Cw%3D%3D,"Charkow, Michelle",416-338-7542,Michelle.Charkow@toronto.ca,
9,OZ,22 136063 STE 13 OZ,591,DUNDAS,ST,E,M5T,2022-04-20T00:00:00,OMB Appeal,316019.113,4835392.262,"Zoning By-law Amendment application for Phases 4 & 5 of the Regent Park redevelopment. The Phases 4 & 5 lands are generally bounded by Gerrard Street to the north, River Street to the east, Oak Street to the south, and Dreamers Way to the west. The proposal consists of a total gross floor area (GFA) of 320,064 m2 comprised of approximately 303,616 m2 of residential GFA and approximately 16,452 m2 of non-residential GFA across 13 buildings (including a new Toronto Public Library branch relocated from Parliament Street). The proposal includes approximately 3,246 residential units, of which 1,976 will be market units and 1,270 will be TCHC-owned rental units.",,5087457,13,Toronto Centre,2022-06-09T00:00:00,6:00pm,Webex,http://app.toronto.ca/AIC/index.do?folderRsn=Qc09fsk2cToGJIlfeP7DDw%3D%3D,"Bailey, Katherine",416-397-1761,Katherine.Bailey@toronto.ca,
10,CD,21 202761 STE 11 CD,31,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Draft Plan Approved,314622.586,4837154.244,Draft Plan of Common Elements Condominium to permit 5 separate Parcels of Tied Land (POTLs).,,4982966,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=q4dmlfjBHiV%2Fi3uiHUmDSA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
